Index Keywords,Cited by,EID
AC-AC converters; Cascaded multilevel converter; Circulating current; Control loop; Controller designs; DC voltage; High power applications; High power quality; Input and outputs; Medium voltage; Modular multi-level converters; Multilevel converter; Predictive control; Power electronics; Topology; Electric converters,116,2-s2.0-84857398707
Ant Colony Optimization (ACO); Autonomous Mobile Robot; Bio-inspired algorithms; Comparative studies; Fuzzy controllers; Fuzzy logic controllers; Intelligent controllers; Optimization techniques; Particle swarm; Wheeled mobile robot; Algorithms; Fuzzy control; Fuzzy logic; Mobile robots; Navigation; Robots; Particle swarm optimization (PSO),115,2-s2.0-84857856533
Application area; Back-to-back converter; Comparative evaluations; Converter topologies; Dc-link; Input filter; Matrix converter; Passive components; Performance indicators; Permanent magnet synchronous motor drives; Power semiconductors; Silicon chip; Thermal loadings; Total loss; Trade-off study; Electric drives; Power electronics; Synchronous motors; Benchmarking,113,2-s2.0-84863771411
Buck-boost; film capacitors; High reliability; LED lamp power supply; LED lamps; Power factor corrections; Single stage converters; Capacitors; Design; Electric converters; Electric power factor; Light emitting diodes; Street lighting; DC-DC converters,113,2-s2.0-80455150468
Building intelligent systems; Context-aware recommender systems; Contextual information; Contextualization; Future challenges; Intelligent educational systems; Personalized e-learning; System applications; Technology enhanced learning; E-learning; Research; Surveys; Recommender systems,109,2-s2.0-84870994062
Cascaded H-bridge inverters; Control actions; Control design; Control schemes; Discrete controllers; Discrete-time control; Energy-balance control; Grid connected inverters; Grid connected PV system; Grid-connected; H-bridges; Maximum power; Multilevel inverter; Multilevel modulation; Operating condition; Operating points; Phase shifted; Photovoltaic arrays; PV arrays; PV system; Seven-level; Wave forms; Bridge circuits; Phase shift; Photovoltaic cells; Pulse width modulation; Electric inverters,107,2-s2.0-84866265900
Adaptive neuro-fuzzy inference system; Carrier plates; Catastrophic failures; Classical conditions; Condition based maintenance; Condition prediction; Failure data; Fault indicators; Fault propagation; Faulty bearings; hidden Markov model (HMM); High-order; Machine dynamics; machinery condition monitoring; Markov model; Neuro-Fuzzy; Particle filter; Particle Filtering; prognosis; Testing data; Time evolutions; Condition monitoring; Fuzzy systems; Hidden Markov models; Machinery; Maintenance; Neural networks; Nonlinear filtering; Probability density function; Fuzzy inference,104,2-s2.0-80051722734
Abnormal conditions; Bayesian estimations; Bearing fault detection; Condition indicators; Confidence levels; Degree of confidence; Enabling technologies; Engineered systems; False alarm rate; Fatigue analysis; Fault conditions; fault progression modeling; Generic models; particle filtering; Probabilistic fault detection; rolling element bearing; Sensor data; signal enhancement; Test rigs; Bayesian networks; Bearings (structural); Feature extraction; Innovation; Nonlinear filtering; Rolling; Signal detection; Fault detection,98,2-s2.0-79954538160
Computing paradigm; Cost optimization; DAG; Execution time; Processing power; Work-flows; Workflow; Workflow scheduling; Algorithms; Cloud computing; Elasticity; Scheduling; Costs,97,2-s2.0-84856604239
Feature-based; Point process; probability hypothesis density (PHD); Random finite sets; Simultaneous localization and mapping; Bayesian networks; Probability distributions; Signal filtering and prediction; Target tracking; Trajectories; Vehicles; Set theory,97,2-s2.0-79953789895
Circuit failures; Detection technique; Drive systems; Driver circuit; Experimental test; Fault location; IM drive; insulated gate bipolar transistors (IGBTs); Motor drive system; Protection systems; semiconductor-device measurements; Signal monitoring; Active filters; Analog circuits; Bipolar transistors; Electric drives; Fault detection; Insulated gate bipolar transistors (IGBT); Time delay; Delay circuits,93,2-s2.0-79954516751
antibiotic agent; antiinfective agent; antivirus agent; carboxymethylcellulose; cation; cationic antimicrobial polymer; cationic surfactant; chitosan; heparin; microbicide; microsphere; nanoparticle; polyacrylic acid; polyelectrolyte; polyethyleneimine; polymer; polypeptide antibiotic agent; polystyrene; quaternary ammonium derivative; unclassified drug; antiinfective agent; cation; lipid; polymer; surfactant; antibacterial activity; antimicrobial activity; biomimetics; disinfection; drug cytotoxicity; food packaging; food preservation; fouling control; Gram negative infection; Gram positive infection; hemolysis; human; material coating; membrane damage; methicillin resistant Staphylococcus aureus; minimum bactericidal concentration; minimum inhibitory concentration; molecular weight; nonhuman; photodynamic therapy; polymerization; review; structure activity relation; surface charge; viral gene therapy; wound dressing; zeta potential; animal; Bacterial Infections; bacterium; chemistry; drug effects; fungus; microbial sensitivity test; Mycoses; Animals; Anti-Infective Agents; Bacteria; Bacterial Infections; Cations; Fungi; Humans; Lipids; Microbial Sensitivity Tests; Mycoses; Polymers; Surface-Active Agents,91,2-s2.0-84877814588
Alternative approach; Anisotropic RBF; Bench-mark problems; Dual formulations; Embedded methods; Feature selection; Feature selection and classification; Real-world; Support vector; Classifiers; Mathematical programming; Support vector machines; Vectors; Feature extraction,90,2-s2.0-77958106713
Complete basis set limit; Density-functional methods; Dispersion energies; Empirical parameters; Non-covalent interaction; Parameterized model; Perturbative triple excitations; Total interaction energy; Biochemistry; Ions; Quantum chemistry; Benchmarking,89,2-s2.0-80051629482
Algorithms; Convex optimization; Delay control systems; Design; Filter banks; Fuzzy systems; Numerical methods; Optimization; Time delay; Convex optimization problems; Dissipativity analysis; Filter designs; Numerical algorithms; Reliable filtering; Strictly dissipative; T-s fuzzy time-delay systems; Time-varying delay; Fuzzy filters,88,2-s2.0-84911893049
Current harmonics; DC link voltage control; Maximum Power Point Tracking; Modulation techniques; Multilevel inverter; Neutral point clamped inverters; New modulation; P-q theory; Photovoltaic power systems; Photovoltaic systems; Pulsewidth-modulated power converters; Reference vectors; Simulation model; System utilization; Three-phase inverter; Transformerless; Zero vectors; Active filters; Computer simulation; DC power transmission; Electric inverters; Energy conversion; Frequency modulation; Photovoltaic effects; Vectors; Leakage currents,86,2-s2.0-80053633990
ACO; Ant Colony Optimization (ACO); Bio-inspired; Complex problems; Complex task; Optimization algorithms; Optimization method; Parameter values; PSO; Type-2 fuzzy logic; Type-2 fuzzy systems; Artificial intelligence; Constrained optimization; Fuzzy logic; Genetic algorithms; Optimization; Particle swarm optimization (PSO); Fuzzy systems,85,2-s2.0-84861574837
acetone; bromine; bromobenzene; carbonyl derivative; chlorine; fluorine; article; chemical bond; chemical interaction; controlled study; diffraction; dispersion; electron; polarization; priority journal; static electricity,83,2-s2.0-84888294131
Co-innovation; collaborative networked organisations; customer communities; interactive marketing; open-innovation; value co-creation; value systems; Virtual breeding environments; Virtual organisations; Customer satisfaction; Sales; Societies and institutions; User interfaces; Innovation,83,2-s2.0-79959343210
Adaptive current controller; Adaptive feedback; Closed-loop; Current controller; Current distortion; Digital implementation; Feedback theory; Grid impedance; Grid voltage; Grid-connected; Grid-connected converters; LCL filters; Model reference adaptive; Modulation voltage; Proportional-plus-integral controllers; Pulsewidths; Resonant controller; Steady state; Electric current control; Model reference adaptive control; State feedback; Power converters,82,2-s2.0-84863740147
Active power; Control schemes; Dc-link; DC-link voltages; Grid connections; Grid voltage; Grid-side converter; Low-voltage ride-through; Mechanical systems; Neutral point clamped converters; Neutral-point-clamped converter; Power system operators; Rotor inertia; Stored energy; Transient operation; Wind power capacity; Electric power generation; Wind power; Electric power transmission networks,80,2-s2.0-84873374990
Dynamic operations; Fast dynamics; Finite control set; Flexible control; Flux control; Induction machine drive; Operating points; Optimization method; Predictive control; Ranking approach; Steady state; Voltage source inverter; Weighting factors; Cost functions; Model predictive control; Multiobjective optimization; Predictive control systems,80,2-s2.0-84866621706
Controller designs; Doubly fed induction generators; Doubly-fed induction generator; Fast dynamics; Fault operation; Fault ride through capability; Flux equations; Grid-connected; Low-voltage; Network faults; Nominal models; Reactive support; Reference frame; Robust controllers; Unbalanced voltages; Asynchronous generators; Electric fault currents; Power quality; Robust control; Wind turbines; Controllers,80,2-s2.0-80051771432
,78,2-s2.0-84894902084
Issues and challenges; Matrix converter; Matrix converter technology; State of the art; Industrial applications; Power converters,77,2-s2.0-84878128253
Benchmark examples; Control applications; Distributed control; Optimal controls; Predictive control; Algorithms; Control; Controllers; Game theory; Model predictive control; Optimization; Tanks (containers); Predictive control systems,77,2-s2.0-79955775180
Further development; Mapping studies; Research questions; Software development; Software Product Line; Software product lines; State of research; System development; Systematic mapping; Computer software selection and evaluation; Mapping; Research; Software testing; Software design,77,2-s2.0-79952451558
Dynamic constraints; Frequency constraint; Global optimizer; Gradient based; Mass optimization; Mass reduction; Non-linear dynamics; Optimization engine; Particle swarm; Particle swarm algorithm; Particle swarm optimization algorithm; Shape and size; Shape modification; Size and shape; Sizing optimization; Truss optimization; Vibration modes; Algorithms; Function evaluation; Mechanical variables measurement; Particle swarm optimization (PSO); Structural design; Structural optimization; Trusses; Shape optimization,77,2-s2.0-77956618443
Critical component; Current analysis; Detection technique; Fault conditions; Fault diagnosis; Finite impulse response filter banks; High-resolution spectral analysis; Induction machines; Monitoring strategy; Multiple faults; Multiple features; Multiple signal classification; multiple-fault diagnosis; Reliable assessment; Single fault; Acoustic signal processing; Fault detection; Filter banks; FIR filters; Impulse response; Rotating machinery; Rotation; Spectrum analysis; Vibration analysis; Wavelet analysis; Induction motors,76,2-s2.0-79954497420
Decoupled structures; Dq-frame; Fault diagnosis; Faulty switches; Induction motor drive; Load torques; Mechanical velocity; Model-based; Non-linear observer; Operating condition; Power actuators; Simultaneous faults; Stator currents; Switching devices; Test benches; Three-phase inverter; Electric drives; Induction motors,76,2-s2.0-78651372724
Bag-of-words models; Benchmark datasets; Classification accuracy; Comparative studies; Computational costs; Empirical comparison; Learning approach; Learning models; Negative sentiments; Opinion mining; Running time; Sentiment analysis; Sentiment classification; Standard evaluations; Statistically significant difference; Text classification; Training time; Unbalanced data; Data mining; Information retrieval; Neural networks; Support vector machines,75,2-s2.0-84867689553
Conduction paths; Fast recovery diodes; Modulation techniques; Original structures; Photovoltaic power systems; Photovoltaic systems; pulsewidth-modulated power converters; PV system; Simulation model; Transformerless; Z-source inverter; Computer simulation; Energy conversion; Frequency modulation; Photovoltaic effects; Power converters; Leakage currents,75,2-s2.0-80053182178
Cloud monitoring; Monitoring technologies; New model; Open source tools; Open-source solutions; Proposed architectures; Service delivery; Computer applications; Electrical engineering; Cloud computing,75,2-s2.0-83255176185
Alarm correlation; Alarm management; Autonomic Computing; Computing environments; Computing system; Cyber-attacks; Fuzzy theory; Intrusion detection and prevention; Intrusion detection and prevention systems; Open structure; Self management; System requirements; Systematic Review; Cloud computing; Computer crime; Intrusion detection; Risk management; Taxonomies; Computer systems,73,2-s2.0-84870667876
Active damping; Control methods; Control schemes; Digital control; Discrete-time model; Displacement power factor; Indirect matrix converter; Input current; Input filter; Matrix converter; Output current; Power conversion; Predictive control; Resonance effect; Unity power factor; Digital control systems; Electric current control; Electric power factor; Harmonic distortion; Power converters; Resonance; Active filters,72,2-s2.0-80053620715
Dynamic parameter adaptation; Fuzzy classification systems; Fuzzy classifiers; Fuzzy parameter; Mathematical functions; Metaheuristic; Optimal design; Optimization problems; Social behavior; Functions; Fuzzy logic; Fuzzy systems; Particle swarm optimization (PSO),71,2-s2.0-84874649268
Amplify-and-forward relaying; Amplifyand-forward relay; Co-operative diversity; Interference power constraints; Monte Carlo simulations; Performance analysis; Relay selection; Symbol error probabilities (SEP); Asymptotic analysis; Cognitive radio; Monte Carlo methods; Rayleigh fading,71,2-s2.0-84875537029
Alternative methods; Decision-tree induction; Different domains; Divide-and-conquer approach; Evolutionary algorithms (EAs); Evolutionary approach; regression; Topdown; Classification (of information); Decision trees; Soft computing; Surveys; Forestry; Algorithms; Classification; Computation; Decision Making; Forestry; Regression Analysis,71,2-s2.0-84860214044
Convergence time; Differentiators; discontinuous observers; finite-time observers; Initial conditions; Input signal; Lipschitz; Lyapunov; Second order sliding modes; Strong Lyapunov function; Super-twisting; Technical notes; Theoretically exact; Differential equations; Lyapunov functions; Convergence of numerical methods,71,2-s2.0-80455150105
Current control; Doubly fed induction generators; Fault ride-through; Mathematical complexity; Power applications; Simplified models; Transient conditions; Transient studies; Wind power industry; AC generators; Algorithms; Asynchronous generators; Computer simulation; Electric current control; Electric power generation; Wind power; Mathematical models,71,2-s2.0-78650218982
Current loop; Current tracking; Dual control; Irradiation levels; Maximum Power Point Tracking; Photovoltaic systems; PI control; PV generators; Switched mode power supplies; Electric current control; Irradiation; Profitability; Sliding mode control,69,2-s2.0-84868117658
"Automatic vehicle locations; Congested networks; Data collection; Data sets; Disaggregation; Expansion factors; GPS data; High quality; Large cities; Multi-modal; O-D matrix; Origin-destination matrix; Post processing; Public transport; Public transport systems; Public transportation; Sample sizes; Santiago , Chile; Survey methods; Time-periods; Time-space; Transport systems; Estimation; Global positioning system; Information technology; Mass transportation; Smart cards; Surveys; Transportation routes; Matrix algebra; data set; estimation method; GPS; information technology; matrix; public transport; transport vehicle; transportation planning; Chile; Metropolitana",69,2-s2.0-84858311146
Footprint of uncertainties; Fuzzy inference systems; Optimal solutions; Optimization method; Parameter spaces; Type-2 fuzzy logic; Fuzzy inference; Fuzzy logic; Fuzzy systems; Inference engines; Membership functions; Optimization; Genetic algorithms,69,2-s2.0-82255183031
Future internet; Internet computing; Orders of magnitude; Research and Technology Development; Research challenges; Research directions; Service description; Service oriented computing; Service Oriented Systems; Service-oriented middleware; State of the art; Arts computing; Electronic document exchange; Internet; Middleware; Research; Telecommunication networks; Web services,69,2-s2.0-79961183405
Available bandwidth; Job allocation; Makespan; Pay-per-use; Private clouds; Processing resources; Scheduling problem; Work-flows; Workflow execution; Communication channels (information theory); Scheduling algorithms; Scheduling,66,2-s2.0-84866279763
Carrier-based modulation; Clamp circuit; Current source converters; Current sources; Efficiency improvement; Emerging topologies; Flexible topology; generation of electrical energy; Grid loss; High-power; Loss model; Matrix converter; Modulation strategy; Offshore wind farms; Operation principles; Reduced matrix converter; Renewable energy systems; Series connections; Space Vector Modulation; Voltage source converters; Wind velocities; Computer simulation; Electric utilities; Electrolytic capacitors; Farms; Modulation; Offshore power plants; Topology; Vector spaces; Wind power; Power converters,65,2-s2.0-80053627223
,65,2-s2.0-78651428990
Chattering effects; Chattering phenomenon; Discontinuous systems; Finite-time convergence; First-order; Linear time invariant systems; Second order sliding modes; Sliding surface; Super-twisting; Variable gain; Algorithms; Linear systems; Lyapunov functions; Robust control; Sliding mode control,64,2-s2.0-84864753797
AC drives; Computational costs; Control methods; Conventional-PI controller; Current regulations; Current response; Fixed switching frequency; Multi-phase drives; Multiphase machines; Predictive control; Predictive control methods; Predictive current control; Six-phase motor; Space vector PWM; Stator current harmonics; AC generator motors; Control theory; Electric current control; Electric drives; Harmonic analysis; Predictive control systems; Stators; Switching frequency; Vector spaces; Drives,64,2-s2.0-79960349517
Content creators; Data sets; Growth patterns; Popularity growth; Propagation process; Referrer; Video datasets; Video popularity; Video sharing; YouTube; Copyrights; Data mining; Growth rate; Information retrieval; Internet; Internet service providers; Search engines; Websites,64,2-s2.0-79952392592
"algorithm; American Indian; article; Caucasian; gene flow; gene linkage disequilibrium; genetics; haplotype; Hispanic; human; methodology; Mexico; population genetics; probability; Puerto Rico; United States; Algorithms; European Continental Ancestry Group; Gene Flow; Genetics, Population; Haplotypes; Hispanic Americans; Humans; Indians, North American; Linkage Disequilibrium; Markov Chains; Mexico; Puerto Rico; United States",63,2-s2.0-84861127863
"1 (1 cyano 1 methylethyl) 3 methyl 8 (3 quinolinyl)imidazo[4,5 c]quinolin 2(1h,3h) one; 2,3 dihydro 2 oxo 3 (4,5,6,7 tetrahydro 1h indol 2 ylmethylene) 1h indole 5 sulfonic acid dimethylamide; 3 bromo 5 tert butyl 4 hydroxybenzylidenemalononitrile; 4 (3 chloroanilino) 6,7 dimethoxyquinazoline; 4 (4 fluorophenyl) 2 (4 hydroxyphenyl) 5 (4 pyridyl)imidazole; 5 aza 2' deoxycytidine; 6 (1,3 dioxo 1h,3h benzo[de]isoquinolin 2 yl) n hydroxyhexanamide; 6 [4 (4 ethyl 1 piperazinylmethyl)phenyl] 4 (alpha methylbenzylamino) 7h pyrrolo[2,3 d]pyrimidine; aew 541; aromatase inhibitor; bgt 226; buparlisib; epidermal growth factor receptor 2; estrogen receptor alpha; estrogen receptor beta; everolimus; fulvestrant; lapatinib; letrozole; microRNA; mitogen activated protein kinase; nvp aew 541; phosphatidylinositol 3 kinase inhibitor; protein tyrosine kinase; somatomedin receptor; stress activated protein kinase; tamoxifen; trastuzumab; trichostatin A; unclassified drug; unindexed drug; vasculotropin receptor; antineoplastic agent; estrogen receptor; microRNA; amino terminal sequence; antineoplastic activity; antiproliferative activity; breast cancer; cancer cell; cancer combination chemotherapy; cancer growth; cancer hormone therapy; cancer inhibition; cancer survival; cell proliferation; cell survival; CpG island; drug bioavailability; drug metabolism; enzyme activation; estrogen responsive element; gene overexpression; genetic variability; human; nonhuman; progression free survival; protein expression; protein phosphorylation; review; signal transduction; therapy resistance; treatment outcome; treatment response; animal; Breast Neoplasms; drug effects; drug resistance; female; genetics; metabolism; pathology; Animals; Antineoplastic Agents; Breast Neoplasms; Drug Resistance, Neoplasm; Female; Humans; MicroRNAs; Receptors, Estrogen; Signal Transduction",62,2-s2.0-84872188345
Ad-hoc communication; Collaborative application; Communication problems; Communication solutions; Communication support; Decision supports; Digital information; Emergency situation; Emergency support; Fire company; Latin americans; Radio channels; Research and development; Response process; Artificial intelligence; Communication systems; Decision making; Decision support systems; Decision theory; Digital radio; Distributed computer systems; Fire extinguishers; Mobile computing; Mobile devices; Mobile ad hoc networks,62,2-s2.0-77957275518
Autonomous Mobile Robot; Chemical optimizations; Fuzzy logic theory; Fuzzy tracking; Motion problems; Optimal design; Optimization method; Optimization techniques; Torque controllers; Tracking problem; Computer simulation; Fuzzy control; Fuzzy logic; Robotics; Optimization,61,2-s2.0-84874665555
Cascaded H-bridge; Cascaded multilevel inverters; Current waveforms; Dc power; DC sources; DC supplies; H-bridges; High frequency HF; Medium-voltage converter; Multilevel converter; Multilevel inverter; Non-regenerative; Power conversion; Power conversion systems; Power sources; Single dc source; Total harmonic distortions; Voltage amplitude; Voltage levels; DC transformers; Electric inverters; Electric vehicles; Power quality; Power transformers; DC power transmission,61,2-s2.0-80051737582
AC-AC power conversion; Back-to-back converter; Comparative assessment; Current regulations; DC links; Input current; Load currents; Matrix converter; Model predictive; Performance comparison; Predictive control; Source currents; Source voltage; Space Vector Modulation; Space vector modulations (SVM); Voltage source; Electric current control; Model predictive control; Modulation; Power converters; Predictive control systems; Vector spaces,60,2-s2.0-84866557917
Adaptive controllers; Comprehensive model; Computer aided simulations; Energy productions; External disturbances; External perturbations; Mechanical stress; Model uncertainties; Nonlinear behavior; Realistic conditions; Second-order sliding-mode control; Super-twisting; Variable gain; Wind energy conversion system; Wind speed; Algorithms; Computer simulation; Electric power generation; Stresses; Uncertainty analysis; Wind power; Sliding mode control,60,2-s2.0-84866632003
Control issues; Control schemes; H-bridges; Predictive control; Steady state errors; Steady state performance; Steady-state operation; Model predictive control; Power converters; Power electronics; Predictive control systems,59,2-s2.0-84882967694
Conventional optimization; Damage location; Damage penalization; Degrees of freedom; Detection problems; Genetic algorithm operators; Global optimum; Modal data; Modal properties; Multiple damages; Numerical errors; Optimization problems; Real-coded genetic algorithm; Solution space; Space frame structure; Structural damages; Genetic algorithms; Mathematical operators; Mechanics; Modal analysis; Optimization; Structural analysis; Structural frames; Damage detection,59,2-s2.0-79953842341
Best position; Fault diagnosis; Generalization ability; Intelligent classifiers; Maintenance tasks; Mechanical faults; Online monitoring; Practical application; SVM; Vibration sensors; Vibration signal; Accelerometers; Induction motors; Industrial applications; Maintenance; Signal processing; Support vector machines; Vibration analysis,59,2-s2.0-79951580103
Asymptotic state; Average dwell time; Detectability; Distribution matrices; Lyapunov analysis; Predicted performance; Reduced order; Simulation result; State estimates; Switched linear system; switched linear systems; Switching sequence; Switching time; Time constraints; Two-state; Unknown input observer; Unknown inputs; Linear systems; State estimation; Switching; Switching systems; Observability,59,2-s2.0-79952607163
Algebraic expression; Centroidal Voronoi Tessellation; Checkerboard patterns; Complicated geometry; Convex polygon; Discretizations; Domain geometry; Finite Element; Matlab code; Mesh generators; Numerical instability; Optimization code; Polygonal element; Signed distance function; Voronoi diagrams; Geometry; Shape optimization; MATLAB,58,2-s2.0-84859592896
Demand prediction; Feedback controller; Field implementation; Its efficiencies; Online models; Optimal control methods; Optimal controls; Real time measurements; Traffic flow control; Traffic management; Variable speed limits; variable speed limits (VSLs); Feedback control; Flow control; Highway planning; Highway traffic control; Optimization; Robust control; Speed control; Controllers,58,2-s2.0-82455208985
Disturbance reduction; Input matrices; Integral sliding mode; Integral sliding mode control; Non holonomic constraint; Sliding manifolds; Sliding modes; State-dependent; Nonlinear systems; Sliding mode control,58,2-s2.0-80455150070
Alternative approach; Bench-mark problems; Face database; FERET database; Higher-degree; Hybrid intelligent system; modular neural networks; Multiple source; Recognition rates; Simulation result; Sugeno integrals; Type-2 fuzzy logic; Database systems; Fuzzy logic; Fuzzy neural networks; Fuzzy systems; Intelligent systems; Face recognition,58,2-s2.0-80052051031
Failure rate; Grid connected PV system; Grid-connected photovoltaic system; Integrated topologies; Junction temperatures; Photovoltaic (PV) inverters; Power stage; Reliability estimation; Stress factors; Two stage; Photovoltaic effects; Topology; Reliability,58,2-s2.0-79959308717
,57,2-s2.0-84879723084
Active power Filter; Active power filters; Closed-loop current controls; DC-AC converter; Digitally controlled; Low switching frequency; Operating principles; Sensor less control; Electric power factor; Signal processing; Active filters,57,2-s2.0-84874855071
Algorithm development; Automation simulation; Control techniques; Flexible simulation; Hardware control; Robot simulations; System verifications; Training and education; Computer simulation; Factory automation; Intelligent robots; Robotics,56,2-s2.0-84893724133
