EID,Cites,Keyword
2-s2.0-79957805810,210,endothelium
2-s2.0-79957805810,210,homeostasis
2-s2.0-79957805810,210,inflammation
2-s2.0-79957805810,210,metabolism
2-s2.0-79957805810,210,obesity
2-s2.0-79957805810,210,pathology
2-s2.0-79957805810,210,pathophysiology
2-s2.0-79957805810,210,Adipokines
2-s2.0-79957805810,210,Adiposity
2-s2.0-79957805810,210,Catalase
2-s2.0-79957805810,210,Endothelium
2-s2.0-79957805810,210,Glutathione Peroxidase
2-s2.0-79957805810,210,Homeostasis
2-s2.0-79957805810,210,Humans
2-s2.0-79957805810,210,Inflammation
2-s2.0-79957805810,210,Nitric Oxide
2-s2.0-79957805810,210,Obesity
2-s2.0-79957805810,210,Oxidative Stress
2-s2.0-79957805810,210,Reactive Oxygen Species
2-s2.0-79957805810,210,Superoxide Dismutase
2-s2.0-80052642550,207,AC-AC converters
2-s2.0-80052642550,207,Back-to-back converter
2-s2.0-80052642550,207,Common knowledge
2-s2.0-80052642550,207,Converter topologies
2-s2.0-80052642550,207,Current source converters
2-s2.0-80052642550,207,Current source rectifiers
2-s2.0-80052642550,207,Dc link capacitor
2-s2.0-80052642550,207,Dc-link
2-s2.0-80052642550,207,Dc-link converters
2-s2.0-80052642550,207,Indirect matrix converter
2-s2.0-80052642550,207,Matrix converter
2-s2.0-80052642550,207,PWM ac-ac converter
2-s2.0-80052642550,207,Space Vector Modulation
2-s2.0-80052642550,207,Three-level
2-s2.0-80052642550,207,voltage source converter
2-s2.0-80052642550,207,Voltage source inverter
2-s2.0-80052642550,207,Choppers (circuits)
2-s2.0-80052642550,207,DC-DC converters
2-s2.0-80052642550,207,Electric inverters
2-s2.0-80052642550,207,HVDC power transmission
2-s2.0-80052642550,207,Topology
2-s2.0-80052642550,207,Vector spaces
2-s2.0-80052642550,207,Electric rectifiers
2-s2.0-84876100615,198,Alternative approach
2-s2.0-84876100615,198,Cancer cell lines
2-s2.0-84876100615,198,Differentially expressed gene
2-s2.0-84876100615,198,Interactive visualizations
2-s2.0-84876100615,198,Mammalian cells
2-s2.0-84876100615,198,Mobile software applications
2-s2.0-84876100615,198,Prior knowledge
2-s2.0-84876100615,198,Toll-like receptors
2-s2.0-84876100615,198,Application programs
2-s2.0-84876100615,198,Cell culture
2-s2.0-84876100615,198,Cell signaling
2-s2.0-84876100615,198,Cells
2-s2.0-84876100615,198,Histology
2-s2.0-84876100615,198,Java programming language
2-s2.0-84876100615,198,Libraries
2-s2.0-84876100615,198,Proteins
2-s2.0-84876100615,198,Tissue
2-s2.0-84876100615,198,Visualization
2-s2.0-84876100615,198,Genes
2-s2.0-84876100615,198,Mammalia
2-s2.0-84876100615,198,histone
2-s2.0-84876100615,198,polycomb group protein
2-s2.0-84876100615,198,protein
2-s2.0-84876100615,198,transcriptome
2-s2.0-84876100615,198,animal
2-s2.0-84876100615,198,article
2-s2.0-84876100615,198,computer interface
2-s2.0-84876100615,198,computer program
2-s2.0-84876100615,198,gene expression regulation
2-s2.0-84876100615,198,gene library
2-s2.0-84876100615,198,genetics
2-s2.0-84876100615,198,human
2-s2.0-84876100615,198,Internet
2-s2.0-84876100615,198,metabolism
2-s2.0-84876100615,198,mouse
2-s2.0-84876100615,198,tumor cell line
2-s2.0-84876100615,198,Animals
2-s2.0-84876100615,198,"Cell Line, Tumor"
2-s2.0-84876100615,198,"Gene Expression Regulation, Neoplastic"
2-s2.0-84876100615,198,Gene Library
2-s2.0-84876100615,198,Histones
2-s2.0-84876100615,198,Humans
2-s2.0-84876100615,198,Internet
2-s2.0-84876100615,198,Mice
2-s2.0-84876100615,198,Polycomb-Group Proteins
2-s2.0-84876100615,198,Proteins
2-s2.0-84876100615,198,Software
2-s2.0-84876100615,198,Transcriptome
2-s2.0-84876100615,198,User-Computer Interface
2-s2.0-80054823957,195,Digital control
2-s2.0-80054823957,195,Digital signals
2-s2.0-80054823957,195,Non linear control
2-s2.0-80054823957,195,Optimal controls
2-s2.0-80054823957,195,Predictive control
2-s2.0-80054823957,195,Static power converters
2-s2.0-80054823957,195,Delay control systems
2-s2.0-80054823957,195,Digital control systems
2-s2.0-80054823957,195,Predictive control systems
2-s2.0-80054823957,195,Signal processing
2-s2.0-80054823957,195,Model predictive control
2-s2.0-79953782504,189,Adaptive Control
2-s2.0-79953782504,189,Adaptive controllers
2-s2.0-79953782504,189,Communication delays
2-s2.0-79953782504,189,Communication graphs
2-s2.0-79953782504,189,consensus
2-s2.0-79953782504,189,Constant time delays
2-s2.0-79953782504,189,delays
2-s2.0-79953782504,189,Euler-Lagrange equations
2-s2.0-79953782504,189,Euler-Lagrange systems
2-s2.0-79953782504,189,Robot manipulator
2-s2.0-79953782504,189,State synchronization
2-s2.0-79953782504,189,Uncertain parameters
2-s2.0-79953782504,189,Unknown parameters
2-s2.0-79953782504,189,Adaptive control systems
2-s2.0-79953782504,189,Computer simulation
2-s2.0-79953782504,189,Dynamical systems
2-s2.0-79953782504,189,Euler equations
2-s2.0-79953782504,189,Flexible manipulators
2-s2.0-79953782504,189,Lagrange multipliers
2-s2.0-79953782504,189,Nonlinear dynamical systems
2-s2.0-79953782504,189,Nonlinear equations
2-s2.0-79953782504,189,Robot applications
2-s2.0-79953782504,189,Uncertainty analysis
2-s2.0-79953782504,189,Synchronization
2-s2.0-84859727230,181,Convergence time
2-s2.0-84859727230,181,Design controllers
2-s2.0-84859727230,181,Differentiators
2-s2.0-84859727230,181,Discontinuous systems
2-s2.0-84859727230,181,Finite-time convergence
2-s2.0-84859727230,181,Linear time invariant systems
2-s2.0-84859727230,181,Quadratic form
2-s2.0-84859727230,181,Robust observers
2-s2.0-84859727230,181,Second order sliding modes
2-s2.0-84859727230,181,Super-twisting
2-s2.0-84859727230,181,Ultimate boundedness
2-s2.0-84859727230,181,Algorithms
2-s2.0-84859727230,181,Linear systems
2-s2.0-84859727230,181,Number theory
2-s2.0-84859727230,181,Lyapunov functions
2-s2.0-84857801456,173,Lewis base
2-s2.0-84857801456,173,nitrogen
2-s2.0-84857801456,173,article
2-s2.0-84857801456,173,complex formation
2-s2.0-84857801456,173,covalent bond
2-s2.0-84857801456,173,electric potential
2-s2.0-84857801456,173,electron
2-s2.0-84857801456,173,molecular interaction
2-s2.0-84857801456,173,priority journal
2-s2.0-84857801456,173,static electricity
2-s2.0-84857801456,173,Computer Simulation
2-s2.0-84857801456,173,"Models, Molecular"
2-s2.0-84857801456,173,Static Electricity
2-s2.0-84874831311,158,Control strategies
2-s2.0-84874831311,158,crowbar
2-s2.0-84874831311,158,Doubly fed induction generators
2-s2.0-84874831311,158,Lowvoltage ride through (LVRT)
2-s2.0-84874831311,158,Reactive support
2-s2.0-84874831311,158,Robust controllers
2-s2.0-84874831311,158,Voltage unbalances
2-s2.0-84874831311,158,Asynchronous generators
2-s2.0-84874831311,158,Control systems
2-s2.0-84874831311,158,Electric fault currents
2-s2.0-84874831311,158,Wind turbines
2-s2.0-84874831311,158,Wind power
2-s2.0-84855661131,152,aromatic compound
2-s2.0-84855661131,152,bromine
2-s2.0-84855661131,152,carbonyl derivative
2-s2.0-84855661131,152,chlorine
2-s2.0-84855661131,152,fluorine
2-s2.0-84855661131,152,halogen
2-s2.0-84855661131,152,iodine
2-s2.0-84855661131,152,oxygen
2-s2.0-84855661131,152,article
2-s2.0-84855661131,152,chemical bond
2-s2.0-84855661131,152,electric potential
2-s2.0-84855661131,152,electron
2-s2.0-84855661131,152,energy
2-s2.0-84855661131,152,halogen bond
2-s2.0-84855661131,152,molecular interaction
2-s2.0-84855661131,152,priority journal
2-s2.0-84855661131,152,static electricity
2-s2.0-84855661131,152,Biological Agents
2-s2.0-84855661131,152,Bromine
2-s2.0-84855661131,152,Chlorine
2-s2.0-84855661131,152,Crystallization
2-s2.0-84855661131,152,Electronics
2-s2.0-84855661131,152,Electrons
2-s2.0-84855661131,152,Fluorine
2-s2.0-84855661131,152,Hydrogen Bonding
2-s2.0-84855661131,152,Iodine
2-s2.0-84855661131,152,Ligands
2-s2.0-84855661131,152,"Models, Molecular"
2-s2.0-84855661131,152,Quantum Theory
2-s2.0-84855661131,152,Static Electricity
2-s2.0-84855661131,152,Thermodynamics
2-s2.0-84862027743,144,Active molecules
2-s2.0-84862027743,144,Bioactive compounds
2-s2.0-84862027743,144,Bioactive molecules
2-s2.0-84862027743,144,Critical review
2-s2.0-84862027743,144,Data sets
2-s2.0-84862027743,144,Optimal balance
2-s2.0-84862027743,144,Protein targets
2-s2.0-84862027743,144,Structure-based
2-s2.0-84862027743,144,True positive rates
2-s2.0-84862027743,144,Virtual Screening
2-s2.0-84862027743,144,Molecules
2-s2.0-84862027743,144,Ligands
2-s2.0-84862027743,144,ligand
2-s2.0-84862027743,144,protein
2-s2.0-84862027743,144,molecular library
2-s2.0-84862027743,144,protein
2-s2.0-84862027743,144,protein binding
2-s2.0-84862027743,144,algorithm
2-s2.0-84862027743,144,binding site
2-s2.0-84862027743,144,chemical database
2-s2.0-84862027743,144,chemistry
2-s2.0-84862027743,144,computer interface
2-s2.0-84862027743,144,drug antagonism
2-s2.0-84862027743,144,drug potentiation
2-s2.0-84862027743,144,high throughput screening
2-s2.0-84862027743,144,human
2-s2.0-84862027743,144,molecular docking
2-s2.0-84862027743,144,molecular library
2-s2.0-84862027743,144,protein binding
2-s2.0-84862027743,144,review
2-s2.0-84862027743,144,statistical model
2-s2.0-84862027743,144,structure activity relation
2-s2.0-84862027743,144,agonists
2-s2.0-84862027743,144,antagonists and inhibitors
2-s2.0-84862027743,144,chemistry
2-s2.0-84862027743,144,molecular library
2-s2.0-84862027743,144,Algorithms
2-s2.0-84862027743,144,Binding Sites
2-s2.0-84862027743,144,"Databases, Chemical"
2-s2.0-84862027743,144,High-Throughput Screening Assays
2-s2.0-84862027743,144,Humans
2-s2.0-84862027743,144,Ligands
2-s2.0-84862027743,144,Likelihood Functions
2-s2.0-84862027743,144,Molecular Docking Simulation
2-s2.0-84862027743,144,Protein Binding
2-s2.0-84862027743,144,Proteins
2-s2.0-84862027743,144,Small Molecule Libraries
2-s2.0-84862027743,144,Structure-Activity Relationship
2-s2.0-84862027743,144,User-Computer Interface
2-s2.0-84862027743,144,Algorithms
2-s2.0-84862027743,144,Binding Sites
2-s2.0-84862027743,144,"Databases, Chemical"
2-s2.0-84862027743,144,High-Throughput Screening Assays
2-s2.0-84862027743,144,Humans
2-s2.0-84862027743,144,Ligands
2-s2.0-84862027743,144,Likelihood Functions
2-s2.0-84862027743,144,Molecular Docking Simulation
2-s2.0-84862027743,144,Protein Binding
2-s2.0-84862027743,144,Proteins
2-s2.0-84862027743,144,Small Molecule Libraries
2-s2.0-84862027743,144,Structure-Activity Relationship
2-s2.0-84862027743,144,User-Computer Interface
2-s2.0-80054812585,130,Comparative studies
2-s2.0-80054812585,130,Control strategies
2-s2.0-80054812585,130,Electrical drives
2-s2.0-80054812585,130,Experimental assessment
2-s2.0-80054812585,130,Experimental bench
2-s2.0-80054812585,130,Field-oriented control
2-s2.0-80054812585,130,Improving performance
2-s2.0-80054812585,130,Induction machines
2-s2.0-80054812585,130,Operation point
2-s2.0-80054812585,130,Predictive control
2-s2.0-80054812585,130,Steady state
2-s2.0-80054812585,130,Transient conditions
2-s2.0-80054812585,130,Variable speed drives
2-s2.0-80054812585,130,Platinum compounds
2-s2.0-78650694101,121,FUZZY TOPSIS
2-s2.0-78650694101,121,Group decision-making
2-s2.0-78650694101,121,Multi-criteria decision making
2-s2.0-78650694101,121,Oil reservoirs
2-s2.0-78650694101,121,Selection of the best
2-s2.0-78650694101,121,Technique for order preference by similarity to ideal solutions
2-s2.0-78650694101,121,TOPSIS
2-s2.0-78650694101,121,Uncertain datas
2-s2.0-78650694101,121,Accidents
2-s2.0-78650694101,121,Decision making
2-s2.0-78650694101,121,Environmental engineering
2-s2.0-78650694101,121,Fuzzy systems
2-s2.0-78650694101,121,Oil spills
2-s2.0-78650694101,121,Petroleum reservoir engineering
2-s2.0-78650694101,121,Fuzzy logic
2-s2.0-84880893036,117,Markovian jump systems
2-s2.0-84880893036,117,Network-induced delays
2-s2.0-84880893036,117,Networked Control Systems (NCSs)
2-s2.0-84880893036,117,Networked predictive controls
2-s2.0-84880893036,117,Output feedback controls
2-s2.0-84880893036,117,Predictive controller
2-s2.0-84880893036,117,Random communication delay
2-s2.0-84880893036,117,Random delay
2-s2.0-84880893036,117,Markov processes
2-s2.0-84880893036,117,Networked control systems
2-s2.0-84880893036,117,System stability
2-s2.0-84880893036,117,Time domain analysis
2-s2.0-84880893036,117,Feedback control
2-s2.0-84857398707,116,AC-AC converters
2-s2.0-84857398707,116,Cascaded multilevel converter
2-s2.0-84857398707,116,Circulating current
2-s2.0-84857398707,116,Control loop
2-s2.0-84857398707,116,Controller designs
2-s2.0-84857398707,116,DC voltage
2-s2.0-84857398707,116,High power applications
2-s2.0-84857398707,116,High power quality
2-s2.0-84857398707,116,Input and outputs
2-s2.0-84857398707,116,Medium voltage
2-s2.0-84857398707,116,Modular multi-level converters
2-s2.0-84857398707,116,Multilevel converter
2-s2.0-84857398707,116,Predictive control
2-s2.0-84857398707,116,Power electronics
2-s2.0-84857398707,116,Topology
2-s2.0-84857398707,116,Electric converters
2-s2.0-84857856533,115,Ant Colony Optimization (ACO)
2-s2.0-84857856533,115,Autonomous Mobile Robot
2-s2.0-84857856533,115,Bio-inspired algorithms
2-s2.0-84857856533,115,Comparative studies
2-s2.0-84857856533,115,Fuzzy controllers
2-s2.0-84857856533,115,Fuzzy logic controllers
2-s2.0-84857856533,115,Intelligent controllers
2-s2.0-84857856533,115,Optimization techniques
2-s2.0-84857856533,115,Particle swarm
2-s2.0-84857856533,115,Wheeled mobile robot
2-s2.0-84857856533,115,Algorithms
2-s2.0-84857856533,115,Fuzzy control
2-s2.0-84857856533,115,Fuzzy logic
2-s2.0-84857856533,115,Mobile robots
2-s2.0-84857856533,115,Navigation
2-s2.0-84857856533,115,Robots
2-s2.0-84857856533,115,Particle swarm optimization (PSO)
2-s2.0-84863771411,113,Application area
2-s2.0-84863771411,113,Back-to-back converter
2-s2.0-84863771411,113,Comparative evaluations
2-s2.0-84863771411,113,Converter topologies
2-s2.0-84863771411,113,Dc-link
2-s2.0-84863771411,113,Input filter
2-s2.0-84863771411,113,Matrix converter
2-s2.0-84863771411,113,Passive components
2-s2.0-84863771411,113,Performance indicators
2-s2.0-84863771411,113,Permanent magnet synchronous motor drives
2-s2.0-84863771411,113,Power semiconductors
2-s2.0-84863771411,113,Silicon chip
2-s2.0-84863771411,113,Thermal loadings
2-s2.0-84863771411,113,Total loss
2-s2.0-84863771411,113,Trade-off study
2-s2.0-84863771411,113,Electric drives
2-s2.0-84863771411,113,Power electronics
2-s2.0-84863771411,113,Synchronous motors
2-s2.0-84863771411,113,Benchmarking
2-s2.0-80455150468,113,Buck-boost
2-s2.0-80455150468,113,film capacitors
2-s2.0-80455150468,113,High reliability
2-s2.0-80455150468,113,LED lamp power supply
2-s2.0-80455150468,113,LED lamps
2-s2.0-80455150468,113,Power factor corrections
2-s2.0-80455150468,113,Single stage converters
2-s2.0-80455150468,113,Capacitors
2-s2.0-80455150468,113,Design
2-s2.0-80455150468,113,Electric converters
2-s2.0-80455150468,113,Electric power factor
2-s2.0-80455150468,113,Light emitting diodes
2-s2.0-80455150468,113,Street lighting
2-s2.0-80455150468,113,DC-DC converters
2-s2.0-84870994062,109,Building intelligent systems
2-s2.0-84870994062,109,Context-aware recommender systems
2-s2.0-84870994062,109,Contextual information
2-s2.0-84870994062,109,Contextualization
2-s2.0-84870994062,109,Future challenges
2-s2.0-84870994062,109,Intelligent educational systems
2-s2.0-84870994062,109,Personalized e-learning
2-s2.0-84870994062,109,System applications
2-s2.0-84870994062,109,Technology enhanced learning
2-s2.0-84870994062,109,E-learning
2-s2.0-84870994062,109,Research
2-s2.0-84870994062,109,Surveys
2-s2.0-84870994062,109,Recommender systems
2-s2.0-84866265900,107,Cascaded H-bridge inverters
2-s2.0-84866265900,107,Control actions
2-s2.0-84866265900,107,Control design
2-s2.0-84866265900,107,Control schemes
2-s2.0-84866265900,107,Discrete controllers
2-s2.0-84866265900,107,Discrete-time control
2-s2.0-84866265900,107,Energy-balance control
2-s2.0-84866265900,107,Grid connected inverters
2-s2.0-84866265900,107,Grid connected PV system
2-s2.0-84866265900,107,Grid-connected
2-s2.0-84866265900,107,H-bridges
2-s2.0-84866265900,107,Maximum power
2-s2.0-84866265900,107,Multilevel inverter
2-s2.0-84866265900,107,Multilevel modulation
2-s2.0-84866265900,107,Operating condition
2-s2.0-84866265900,107,Operating points
2-s2.0-84866265900,107,Phase shifted
2-s2.0-84866265900,107,Photovoltaic arrays
2-s2.0-84866265900,107,PV arrays
2-s2.0-84866265900,107,PV system
2-s2.0-84866265900,107,Seven-level
2-s2.0-84866265900,107,Wave forms
2-s2.0-84866265900,107,Bridge circuits
2-s2.0-84866265900,107,Phase shift
2-s2.0-84866265900,107,Photovoltaic cells
2-s2.0-84866265900,107,Pulse width modulation
2-s2.0-84866265900,107,Electric inverters
2-s2.0-80051722734,104,Adaptive neuro-fuzzy inference system
2-s2.0-80051722734,104,Carrier plates
2-s2.0-80051722734,104,Catastrophic failures
2-s2.0-80051722734,104,Classical conditions
2-s2.0-80051722734,104,Condition based maintenance
2-s2.0-80051722734,104,Condition prediction
2-s2.0-80051722734,104,Failure data
2-s2.0-80051722734,104,Fault indicators
2-s2.0-80051722734,104,Fault propagation
2-s2.0-80051722734,104,Faulty bearings
2-s2.0-80051722734,104,hidden Markov model (HMM)
2-s2.0-80051722734,104,High-order
2-s2.0-80051722734,104,Machine dynamics
2-s2.0-80051722734,104,machinery condition monitoring
2-s2.0-80051722734,104,Markov model
2-s2.0-80051722734,104,Neuro-Fuzzy
2-s2.0-80051722734,104,Particle filter
2-s2.0-80051722734,104,Particle Filtering
2-s2.0-80051722734,104,prognosis
2-s2.0-80051722734,104,Testing data
2-s2.0-80051722734,104,Time evolutions
2-s2.0-80051722734,104,Condition monitoring
2-s2.0-80051722734,104,Fuzzy systems
2-s2.0-80051722734,104,Hidden Markov models
2-s2.0-80051722734,104,Machinery
2-s2.0-80051722734,104,Maintenance
2-s2.0-80051722734,104,Neural networks
2-s2.0-80051722734,104,Nonlinear filtering
2-s2.0-80051722734,104,Probability density function
2-s2.0-80051722734,104,Fuzzy inference
2-s2.0-79954538160,98,Abnormal conditions
2-s2.0-79954538160,98,Bayesian estimations
2-s2.0-79954538160,98,Bearing fault detection
2-s2.0-79954538160,98,Condition indicators
2-s2.0-79954538160,98,Confidence levels
2-s2.0-79954538160,98,Degree of confidence
2-s2.0-79954538160,98,Enabling technologies
2-s2.0-79954538160,98,Engineered systems
2-s2.0-79954538160,98,False alarm rate
2-s2.0-79954538160,98,Fatigue analysis
2-s2.0-79954538160,98,Fault conditions
2-s2.0-79954538160,98,fault progression modeling
2-s2.0-79954538160,98,Generic models
2-s2.0-79954538160,98,particle filtering
2-s2.0-79954538160,98,Probabilistic fault detection
2-s2.0-79954538160,98,rolling element bearing
2-s2.0-79954538160,98,Sensor data
2-s2.0-79954538160,98,signal enhancement
2-s2.0-79954538160,98,Test rigs
2-s2.0-79954538160,98,Bayesian networks
2-s2.0-79954538160,98,Bearings (structural)
2-s2.0-79954538160,98,Feature extraction
2-s2.0-79954538160,98,Innovation
2-s2.0-79954538160,98,Nonlinear filtering
2-s2.0-79954538160,98,Rolling
2-s2.0-79954538160,98,Signal detection
2-s2.0-79954538160,98,Fault detection
2-s2.0-84856604239,97,Computing paradigm
2-s2.0-84856604239,97,Cost optimization
2-s2.0-84856604239,97,DAG
2-s2.0-84856604239,97,Execution time
2-s2.0-84856604239,97,Processing power
2-s2.0-84856604239,97,Work-flows
2-s2.0-84856604239,97,Workflow
2-s2.0-84856604239,97,Workflow scheduling
2-s2.0-84856604239,97,Algorithms
2-s2.0-84856604239,97,Cloud computing
2-s2.0-84856604239,97,Elasticity
2-s2.0-84856604239,97,Scheduling
2-s2.0-84856604239,97,Costs
2-s2.0-79953789895,97,Feature-based
2-s2.0-79953789895,97,Point process
2-s2.0-79953789895,97,probability hypothesis density (PHD)
2-s2.0-79953789895,97,Random finite sets
2-s2.0-79953789895,97,Simultaneous localization and mapping
2-s2.0-79953789895,97,Bayesian networks
2-s2.0-79953789895,97,Probability distributions
2-s2.0-79953789895,97,Signal filtering and prediction
2-s2.0-79953789895,97,Target tracking
2-s2.0-79953789895,97,Trajectories
2-s2.0-79953789895,97,Vehicles
2-s2.0-79953789895,97,Set theory
2-s2.0-79954516751,93,Circuit failures
2-s2.0-79954516751,93,Detection technique
2-s2.0-79954516751,93,Drive systems
2-s2.0-79954516751,93,Driver circuit
2-s2.0-79954516751,93,Experimental test
2-s2.0-79954516751,93,Fault location
2-s2.0-79954516751,93,IM drive
2-s2.0-79954516751,93,insulated gate bipolar transistors (IGBTs)
2-s2.0-79954516751,93,Motor drive system
2-s2.0-79954516751,93,Protection systems
2-s2.0-79954516751,93,semiconductor-device measurements
2-s2.0-79954516751,93,Signal monitoring
2-s2.0-79954516751,93,Active filters
2-s2.0-79954516751,93,Analog circuits
2-s2.0-79954516751,93,Bipolar transistors
2-s2.0-79954516751,93,Electric drives
2-s2.0-79954516751,93,Fault detection
2-s2.0-79954516751,93,Insulated gate bipolar transistors (IGBT)
2-s2.0-79954516751,93,Time delay
2-s2.0-79954516751,93,Delay circuits
2-s2.0-84877814588,91,antibiotic agent
2-s2.0-84877814588,91,antiinfective agent
2-s2.0-84877814588,91,antivirus agent
2-s2.0-84877814588,91,carboxymethylcellulose
2-s2.0-84877814588,91,cation
2-s2.0-84877814588,91,cationic antimicrobial polymer
2-s2.0-84877814588,91,cationic surfactant
2-s2.0-84877814588,91,chitosan
2-s2.0-84877814588,91,heparin
2-s2.0-84877814588,91,microbicide
2-s2.0-84877814588,91,microsphere
2-s2.0-84877814588,91,nanoparticle
2-s2.0-84877814588,91,polyacrylic acid
2-s2.0-84877814588,91,polyelectrolyte
2-s2.0-84877814588,91,polyethyleneimine
2-s2.0-84877814588,91,polymer
2-s2.0-84877814588,91,polypeptide antibiotic agent
2-s2.0-84877814588,91,polystyrene
2-s2.0-84877814588,91,quaternary ammonium derivative
2-s2.0-84877814588,91,unclassified drug
2-s2.0-84877814588,91,antiinfective agent
2-s2.0-84877814588,91,cation
2-s2.0-84877814588,91,lipid
2-s2.0-84877814588,91,polymer
2-s2.0-84877814588,91,surfactant
2-s2.0-84877814588,91,antibacterial activity
2-s2.0-84877814588,91,antimicrobial activity
2-s2.0-84877814588,91,biomimetics
2-s2.0-84877814588,91,disinfection
2-s2.0-84877814588,91,drug cytotoxicity
2-s2.0-84877814588,91,food packaging
2-s2.0-84877814588,91,food preservation
2-s2.0-84877814588,91,fouling control
2-s2.0-84877814588,91,Gram negative infection
