EID,Cited by,Index Keywords,DOI,Link,,,,"SUBJAREA ( econ )  AND  ( PUBYEAR  <  2016  AND  PUBYEAR  >  2010 )  AND  ( LIMIT-TO ( SRCTYPE ,  ""j"" ) )"
2-s2.0-84862835806,214,prediction; socioeconomic indicator; trend analysis; World Wide Web,10.1111/j.1475-4932.2012.00809.x,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84862835806&partnerID=40&md5=7ab9025f1d3b5105441c4a1b12b251e6,,,,
2-s2.0-84871857828,210,"article; commercial phenomena; human; information system; organization; organization and management; Commerce; Decision Making, Organizational; Efficiency, Organizational; Humans; Information Management; Organizational Culture",,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84871857828&partnerID=40&md5=00f7dd9d1bb3b5f11af11ab83a3fb2aa,,,,
2-s2.0-78650971884,207,,10.1111/j.1540-6261.2010.01624.x,https://www.scopus.com/inward/record.uri?eid=2-s2.0-78650971884&partnerID=40&md5=ea0e54d0eaff25ee89c56443387a4fa9,,,,
2-s2.0-79551516148,205,,10.1007/s11747-010-0200-y,https://www.scopus.com/inward/record.uri?eid=2-s2.0-79551516148&partnerID=40&md5=c57e4ac6bc09a55f85d836f14e939833,,,,
2-s2.0-79953682799,205,financial crisis; general equilibrium analysis; interest rate; numerical model; public spending; stochasticity,10.1086/659312,https://www.scopus.com/inward/record.uri?eid=2-s2.0-79953682799&partnerID=40&md5=ec1813a4e464296c7fd56c1c6895461f,,,,
2-s2.0-79951577219,202,,10.1016/j.jmoneco.2010.10.004,https://www.scopus.com/inward/record.uri?eid=2-s2.0-79951577219&partnerID=40&md5=4a94e408422d0f9515df84e029acc56c,,,,
2-s2.0-84874191730,200,,10.1007/s11747-012-0308-3,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84874191730&partnerID=40&md5=bf7c8d8cbde8873206e143affedee1c3,,,,
2-s2.0-79551579111,200,,10.1007/s10683-010-9257-1,https://www.scopus.com/inward/record.uri?eid=2-s2.0-79551579111&partnerID=40&md5=2c77ec473384d1b1013cac47bb883811,,,,
2-s2.0-78149496813,200,,10.1016/j.jfineco.2010.08.010,https://www.scopus.com/inward/record.uri?eid=2-s2.0-78149496813&partnerID=40&md5=80e24c16a615632139e1079123ab76c9,,,,
2-s2.0-84865961884,197,,10.1177/0894486511435355,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84865961884&partnerID=40&md5=b389eac2ea42603ec80ae1c2dabc26df,,,,
2-s2.0-84862497997,194,,10.1257/aer.102.2.1029,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84862497997&partnerID=40&md5=38ff9ab48c678a3280f32740f3001208,,,,
2-s2.0-80053086360,194,,10.1111/j.1540-6261.2011.01679.x,https://www.scopus.com/inward/record.uri?eid=2-s2.0-80053086360&partnerID=40&md5=f96a3718c1e575c4f3d96eef4815cdd8,,,,
2-s2.0-79952164509,194,,10.1257/aer.101.1.304,https://www.scopus.com/inward/record.uri?eid=2-s2.0-79952164509&partnerID=40&md5=8615a42e792c44314b1d71137dee2ecc,,,,
2-s2.0-84860440143,193,,10.1016/j.jfineco.2011.03.016,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84860440143&partnerID=40&md5=80e69a88946a6d446a2423245c6dda78,,,,
2-s2.0-77958009389,193,Compact semigroup; Evolution equations; Fractional power; Mild solution; Optimal controls; Differential equations; Optimization; Theorem proving; Biology,10.1016/j.nonrwa.2010.06.013,https://www.scopus.com/inward/record.uri?eid=2-s2.0-77958009389&partnerID=40&md5=20a8b7b08fa86f6484ab513776cd8137,,,,
2-s2.0-79958853536,191,,10.1177/0149206310391805,https://www.scopus.com/inward/record.uri?eid=2-s2.0-79958853536&partnerID=40&md5=8f2b392aecfe5fd07edd8386e9057d70,,,,
2-s2.0-83055186856,189,,10.3846/20294913.2011.593291,https://www.scopus.com/inward/record.uri?eid=2-s2.0-83055186856&partnerID=40&md5=fa3b91f5596f518e93dc8a693bf62ea2,,,,
2-s2.0-84865367685,188,experimental study; health care; health insurance; public health; Oregon; United States,10.1093/qje/qjs020,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84865367685&partnerID=40&md5=efbf042fcc45ecf48f0021915fabf61e,,,,
2-s2.0-80055058847,188,Carbon management; Emission trading scheme; Environment; Greenhouse gases emissions; Life cycle assessment; Reverse logistics; Sustainable supply chains; Aluminum plants; Civil aviation; Commerce; Decision making; Design; Environmental management; Global warming; Greenhouse gases; Integer programming; Life cycle; Logistics; Rating; Supply chain management; Supply chains; Sustainable development,10.1016/j.ijpe.2010.10.025,https://www.scopus.com/inward/record.uri?eid=2-s2.0-80055058847&partnerID=40&md5=b3ae7db1bbeda339fa461f9c2305b9d4,,,,
2-s2.0-79957959761,187,,10.1016/j.jfineco.2011.03.006,https://www.scopus.com/inward/record.uri?eid=2-s2.0-79957959761&partnerID=40&md5=2dd52d31e5255b0e545c98b8f6e89881,,,,
2-s2.0-79953676645,184,consumption behavior; identification method; public spending; state role; vector autoregression; wage,10.1093/qje/qjq008,https://www.scopus.com/inward/record.uri?eid=2-s2.0-79953676645&partnerID=40&md5=0898f79613ed4a27d0a5ee42e91d6c2a,,,,
2-s2.0-79951759018,180,agricultural management; agricultural practice; agricultural production; agricultural technology; agroecology; agroforestry; agronomy; aquaculture; crop yield; cultivation; fodder; horticulture; integrated pest management; livestock; policy making; private sector; public sector; rural economy; social capital; soil conservation; sustainable development; urban economy; Africa; Animalia,10.3763/ijas.2010.0583,https://www.scopus.com/inward/record.uri?eid=2-s2.0-79951759018&partnerID=40&md5=0f086d1bf107b4089d4346e6904fee8a,,,,
2-s2.0-80055035517,176,,10.1257/jel.49.4.1076,https://www.scopus.com/inward/record.uri?eid=2-s2.0-80055035517&partnerID=40&md5=0301bd3b72f448200670dad63a366810,,,,
2-s2.0-84859572860,175,,10.1509/jm.09.0339,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84859572860&partnerID=40&md5=7083e0788793cf59cbba0c86acad10c2,,,,
2-s2.0-79958088403,175,,10.1257/mac.3.2.75,https://www.scopus.com/inward/record.uri?eid=2-s2.0-79958088403&partnerID=40&md5=1077f4d8938c9f8d09b03302bc993be6,,,,
2-s2.0-80255123450,173,,10.1007/s10683-011-9283-7,https://www.scopus.com/inward/record.uri?eid=2-s2.0-80255123450&partnerID=40&md5=79d48ee5488231234a9006c7be10deea,,,,
2-s2.0-83655164331,172,,10.1177/0149206311410606,https://www.scopus.com/inward/record.uri?eid=2-s2.0-83655164331&partnerID=40&md5=e5e056eaf427986c5d848157635b0364,,,,
2-s2.0-79956198996,170,Drivers; Environmental risks; Green supply chain management; Interpretive structural modeling; Manufacturing firms; Organizational philosophy; Supply chain management; environmental management; implementation process; manufacturing; model validation; modeling; risk assessment; article; certification; conceptual framework; environmental management; environmental monitoring; environmental planning; environmental protection; government regulation; green chemistry; green supply chain management; industrial production; organizational development; organizational structure; product recovery; recycling; social marketing; waste disposal; India,10.1016/j.resconrec.2010.12.002,https://www.scopus.com/inward/record.uri?eid=2-s2.0-79956198996&partnerID=40&md5=ef9ec08d15cdcd98108dd439d13b058a,,,,
2-s2.0-81855180395,168,,l0.l257/jC).25.4.l9,https://www.scopus.com/inward/record.uri?eid=2-s2.0-81855180395&partnerID=40&md5=4d97dea1374f5c5ea242d2012d412a8b,,,,
2-s2.0-84866640011,164,,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84866640011&partnerID=40&md5=e3625025b1cce74cfa153c15e07a697e,,,,
2-s2.0-84861785324,164,,10.1016/j.jfineco.2011.12.005,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84861785324&partnerID=40&md5=edf4710de95f400dcc7f91beeb350e1f,,,,
2-s2.0-80053085552,162,,10.3982/ECTA8318,https://www.scopus.com/inward/record.uri?eid=2-s2.0-80053085552&partnerID=40&md5=67a04fe150b7b9225b8832dbfb1b9023,,,,
2-s2.0-79952362046,162,,10.1111/j.1911-3846.2010.01041.x,https://www.scopus.com/inward/record.uri?eid=2-s2.0-79952362046&partnerID=40&md5=0b714ae8b1e6041841f2345ce90d48be,,,,
2-s2.0-78650304151,162,Empirical studies; Environmental management practices; Environmental performance; International study; Lean manufacturing; Agile manufacturing systems; Commerce; Environmental impact; Industry; Environmental management,10.1016/j.ijpe.2010.10.017,https://www.scopus.com/inward/record.uri?eid=2-s2.0-78650304151&partnerID=40&md5=25811bf6a62842f5748397b8d76db5f4,,,,
2-s2.0-84860389009,161,,10.1257/aer.101.5.1676,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84860389009&partnerID=40&md5=3050291f420a9bd792940a57e522b864,,,,
2-s2.0-79955432995,161,Great Depression; macroeconomics; risk factor; stock market,10.1093/qje/qjq004,https://www.scopus.com/inward/record.uri?eid=2-s2.0-79955432995&partnerID=40&md5=f8d327c379c14ce81a849973ce080499,,,,
2-s2.0-84876361140,160,,10.1111/jofi.12021,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84876361140&partnerID=40&md5=6ab4e954fad86cbe8ab16c5b849c2a31,,,,
2-s2.0-84861658535,159,,10.1257/pol.4.2.1,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84861658535&partnerID=40&md5=57024b67e345dcae4f683c5be784a5ea,,,,
2-s2.0-84864293935,159,,10.2308/accr-10195,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84864293935&partnerID=40&md5=fa80357510466db4e36875de4d0a66c2,,,,
2-s2.0-78751680037,159,developing world; emission control; food chain; food policy; food security; greenhouse gas; livestock; sustainability,10.1016/j.foodpol.2010.10.010,https://www.scopus.com/inward/record.uri?eid=2-s2.0-78751680037&partnerID=40&md5=3582ccafc8e1c3449387fdaf8ea2de75,,,,
2-s2.0-84855984578,158,,10.1111/j.1542-4774.2011.01052.x,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84855984578&partnerID=40&md5=87e81e0198a46a5aaa495cab32655409,,,,
2-s2.0-80055061655,158,Indirect effects; Information integration; Information sharing; Logistics integration; Material Flow; Operational performance; Performance; Supplier relationships; Supply chain integration; Supply chain partners; Supply chain performance; Information retrieval; Information technology; Supply chain management; Supply chains; Information dissemination,10.1016/j.ijpe.2011.09.001,https://www.scopus.com/inward/record.uri?eid=2-s2.0-80055061655&partnerID=40&md5=8391cf8dc6d1e01d2f6e6a77fe80e7b2,,,,
2-s2.0-84856881766,157,,10.1257/aer.102.1.131,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84856881766&partnerID=40&md5=d705059291a1f8e694f5dad0a45df68a,,,,
2-s2.0-79957646850,156,Information analysis; Research; Research and development management; Risk analysis; Risk assessment; Risk management; Supply chains; Surveys; User interfaces; Citation/co-citation analysis; Information flows; Intellectual structures; Literature survey; Potential risks; Quantitative models; Research development; Risk issues; Supply chain operation; Supply chain risk; Supply chain risk management; Web of Science; Supply chain management,10.1016/j.ijpe.2010.06.013,https://www.scopus.com/inward/record.uri?eid=2-s2.0-79957646850&partnerID=40&md5=a75dbda288f2f6c1a3f271faaed9126e,,,,
2-s2.0-84856908316,155,,10.1257/aer.102.1.94,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84856908316&partnerID=40&md5=4686f15d5e478238f3373e0427e5867e,,,,
2-s2.0-78249237012,155,,10.1177/0149206310385695,https://www.scopus.com/inward/record.uri?eid=2-s2.0-78249237012&partnerID=40&md5=25ae712cf8a6a8cab1407f262d78e1c2,,,,
2-s2.0-79953208232,155,,10.1093/rfs/hhp033,https://www.scopus.com/inward/record.uri?eid=2-s2.0-79953208232&partnerID=40&md5=9b32c98c2943714df2746671fe29724a,,,,
2-s2.0-84858405095,154,,10.1111/j.1540-6520.2010.00407.x,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84858405095&partnerID=40&md5=251cb8a6449d5f257f38151e168d1a03,,,,
2-s2.0-79958122437,152,,10.1177/0149206310380462,https://www.scopus.com/inward/record.uri?eid=2-s2.0-79958122437&partnerID=40&md5=bec4d65c9e6792ca520fdb7c54c2cb06,,,,
2-s2.0-84862759187,151,,10.1016/j.jfineco.2012.05.011,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84862759187&partnerID=40&md5=c526e53888b1b88b53373625e0e91a93,,,,
2-s2.0-78349304786,150,biodiversity; ecosystem management; environmental planning; integrated approach; marine park; spatial planning; strategic approach; zoning system,10.1016/j.marpol.2010.10.006,https://www.scopus.com/inward/record.uri?eid=2-s2.0-78349304786&partnerID=40&md5=e79c69e58560216a476893f41f166b41,,,,
2-s2.0-84860470674,149,,10.1016/j.jfineco.2011.12.010,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84860470674&partnerID=40&md5=659ae297247f8edd7f7e87a07d4e9af7,,,,
2-s2.0-79960199333,149,,10.1016/j.jbankfin.2011.02.007,https://www.scopus.com/inward/record.uri?eid=2-s2.0-79960199333&partnerID=40&md5=4e30ad6bbcd01b34d214f5f22d198d54,,,,
2-s2.0-84862759222,148,,10.1016/j.jfineco.2012.03.005,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84862759222&partnerID=40&md5=a8d37e407667f8b2dffcd9e5612f6118,,,,
2-s2.0-81255175219,147,"academic performance; economic impact; education; experimental study; higher education; income; returns to education; student; article; economics; education; ethnology; history; income; legal aspect; personnel; psychological aspect; research; social class; student; study skills; teaching; United States; Education; History, 20th Century; History, 21st Century; Income; Research Personnel; Research Report; Social Mobility; Students; Teaching; Tennessee; Test Taking Skills; Tennessee; United States",10.1093/qje/qjr041,https://www.scopus.com/inward/record.uri?eid=2-s2.0-81255175219&partnerID=40&md5=4cfe4000aaa7c82ce45a98d8ef255a85,,,,
2-s2.0-79952146489,147,,10.1257/aer.101.1.196,https://www.scopus.com/inward/record.uri?eid=2-s2.0-79952146489&partnerID=40&md5=f72c4b64acaa35c8db474cecde408a2f,,,,
2-s2.0-84555219856,147,,10.2753/JEC1086-4415160204,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84555219856&partnerID=40&md5=a983ed7ec53220a74181e2ed230aefb3,,,,
2-s2.0-84863393189,146,economic conditions; economic growth; empirical analysis; hysteresis; regional economy; United Kingdom,10.1093/jeg/lbr019,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84863393189&partnerID=40&md5=f434d89696386fa3efd1e42391e4d263,,,,
2-s2.0-79957594871,146,Battery cost; Charging time; Choice experiments; Discrete choice; Driving range; Fuel cost; Fuel savings; Gasoline vehicle; Latent class; Pollution reduction; Purchase price; Random utility model; Stated preference; Stated-preference studies; Vehicle configuration; Willingness to pay; Computer simulation; Cost benefit analysis; Costs; Electric vehicles; Fuel economy; Fuels; Gasoline; Automobiles; discrete choice analysis; electric vehicle; numerical model; pollution control; willingness to pay,10.1016/j.reseneeco.2011.02.002,https://www.scopus.com/inward/record.uri?eid=2-s2.0-79957594871&partnerID=40&md5=a01928236b3a0f4f42eae4021c827584,,,,
2-s2.0-79957753052,145,Analytical results; Carbon emissions; Carbon footprint; Carbon footprints; Carbon price; Inventory; Inventory management; Market-based mechanisms; Numerical example; Optimal order quantity; Order quantity; Total costs; Commerce; Emission control; Global warming; Inventory control; Environmental impact,10.1016/j.ijpe.2011.03.024,https://www.scopus.com/inward/record.uri?eid=2-s2.0-79957753052&partnerID=40&md5=f5f6b196327f345e784c3a8218fe6f7d,,,,
2-s2.0-84867095839,143,,10.1177/0149206311415280,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84867095839&partnerID=40&md5=8d924af24f57d9164465621d59ce6b57,,,,
2-s2.0-83755224670,143,,10.1257/aer.101.7.3221,https://www.scopus.com/inward/record.uri?eid=2-s2.0-83755224670&partnerID=40&md5=942a5df9289902207e07c89b13ca349c,,,,
2-s2.0-79959370636,143,,10.1509/jmkg.75.4.166,https://www.scopus.com/inward/record.uri?eid=2-s2.0-79959370636&partnerID=40&md5=f3b42c03a2e608763351b993aac3afce,,,,
2-s2.0-84865677378,142,Literature reviews; Performance indicators; Performance measure; Performance measurements; Sustainable supply chains; Utility supply; Benchmarking; Supply chain management,10.1016/j.ijpe.2012.01.042,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84865677378&partnerID=40&md5=bb5168827dba1c94f1e8d73c7bab702e,,,,
2-s2.0-84874220742,141,Battery replacements; Clean electricity; Diesel vehicles; Ecotoxicity; Electric Vehicles (EVs); Electricity infrastructure; Electricity source; Environmental life cycle assessment; Environmental profile; Gasoline vehicle; Global warming potential; Human toxicity; Industrial ecology; Life cycle inventories; Life Cycle Inventory; Low-carbon electricities; Personal transportation; Tailpipe emission; Use Phase; Vehicle supply; Electric vehicles; Electricity; Energy utilization; Eutrophication; Gas emissions; Gasoline; Global warming; Greenhouse gases; Solar cells; Supply chains; Toxicity; Transportation; Water; Life cycle; comparative study; decision making; electric vehicle; electrical power; emission control; emission inventory; energy resource; eutrophication; global warming; greenhouse gas; industrial ecology; life cycle analysis; transportation system; Europe,10.1111/j.1530-9290.2012.00532.x,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84874220742&partnerID=40&md5=38b97d683b321e33ada66f84148452ed,,,,
2-s2.0-84155169077,141,disaster management; future prospect; literature review; logistics; numerical model; operations technology; optimization,10.1016/j.seps.2011.04.004,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84155169077&partnerID=40&md5=0fb0798579426838dcb27436e25c12f9,,,,
2-s2.0-78650978170,141,,10.1007/s11747-010-0216-3,https://www.scopus.com/inward/record.uri?eid=2-s2.0-78650978170&partnerID=40&md5=e98425302509ccd85c3b32ed1035c3df,,,,
2-s2.0-78649732201,140,Forecast comparisons; Forecast evaluation; Loss functions; Range; Realised variance; Forecasting; Function evaluation,10.1016/j.jeconom.2010.03.034,https://www.scopus.com/inward/record.uri?eid=2-s2.0-78649732201&partnerID=40&md5=8933bc69094c231ba4bc58548bd15291,,,,
2-s2.0-80051928137,139,,10.1257/jep.25.3.153,https://www.scopus.com/inward/record.uri?eid=2-s2.0-80051928137&partnerID=40&md5=d456d81c8c597686c7debbccf903f91c,,,,
2-s2.0-79959220163,138,,10.1057/jibs.2010.55,https://www.scopus.com/inward/record.uri?eid=2-s2.0-79959220163&partnerID=40&md5=9c95e589bbfaa1722a7876cc6e86b842,,,,
2-s2.0-78650988634,138,,10.1007/s11747-010-0213-6,https://www.scopus.com/inward/record.uri?eid=2-s2.0-78650988634&partnerID=40&md5=4d249edbe0c75213bb51874de33436bb,,,,
2-s2.0-84865193016,136,algorithm; data set; economic analysis; estimation method; optimization; regression analysis,10.1093/restud/rdr043,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84865193016&partnerID=40&md5=9aea249ca6e01888c21b1b16cbc4cbd5,,,,
2-s2.0-80054786351,136,article; cost control; economics; health care delivery; methodology; problem solving; United States; Cost Control; Delivery of Health Care; Problem Solving; United States,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-80054786351&partnerID=40&md5=1350d1cb6a27d426b632a6b61e903246,,,,
2-s2.0-79952071877,136,carbon dioxide; economic growth; environmental economics; environmental policy; environmental tax; market system; nutrient limitation; political change; pricing policy; sustainability; sustainable development; welfare economics,10.1016/j.ecolecon.2010.12.007,https://www.scopus.com/inward/record.uri?eid=2-s2.0-79952071877&partnerID=40&md5=48530c2062886b3e49a4c5fa558a4dbb,,,,
2-s2.0-84865696642,135,Corporate responsibility; Economic order; Empirical research; Empirical studies; Enterprise environment; Findings; Framework; French companies; Functional strategies; Global market; Not-for-profit organization; Supply management; Sustainable business; Theoretical framework; Virtual enterprise; Competition; International trade; Profitability; Supply chain management; Virtual corporation; Sustainable development,10.1016/j.ijpe.2011.04.007,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84865696642&partnerID=40&md5=a39ad0e28d37367529fb76f6eec79a4a,,,,
2-s2.0-84862845137,134,debt; fiscal policy; Keynesian theory; modeling; Japan; Armeria,10.1093/qje/qjs023,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84862845137&partnerID=40&md5=9bf3b33427cacbef10609a339956db26,,,,
2-s2.0-84861682211,134,,10.1257/jel.50.1.3,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84861682211&partnerID=40&md5=e15cd753aab338ce7e213e465405a7eb,,,,
2-s2.0-84859908356,133,International journals; Literature reviews; Mass customization; Production economics; Research directions; Summary statistic; Research; Computer aided manufacturing,10.1016/j.ijpe.2012.03.002,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84859908356&partnerID=40&md5=0d435b905b2865ead62b0ec3c0ca633d,,,,
2-s2.0-84856032850,133,Comprehensive studies; Decomposition methods; Index decomposition analysis; Input-output analysis; Structural decomposition analysis; Carbon dioxide; Decomposition; Economic analysis; Structural analysis; carbon emission; decomposition analysis; empirical analysis; energy market; input-output analysis; methodology; China,10.1016/j.eneco.2011.10.009,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84856032850&partnerID=40&md5=1ce1fe40069c3d17e8a731db7ba01596,,,,
2-s2.0-78650793566,133,Global stocks; Life-extension; Material efficiency; Materials production; Potential mechanism; Re-use; Remanufacturing; White papers; Energy conversion; Energy efficiency; Environmental impact; Waste management; Materials; carbon dioxide; nitric oxide; oxygen; ozone; sulfur dioxide; energy efficiency; environmental impact; manufacturing; waste management; article; building material; chemical oxygen demand; climate change; economic aspect; ecotoxicology; energy consumption; environmental impact assessment; greenhouse effect; incineration; industrialization; land use; landfill; materials management; recycling; social aspect; waste management; water supply,10.1016/j.resconrec.2010.11.002,https://www.scopus.com/inward/record.uri?eid=2-s2.0-78650793566&partnerID=40&md5=8dc4fde2f4ae6c80a780b6c87707c844,,,,
2-s2.0-79958135412,133,,10.1257/mac.3.1.1,https://www.scopus.com/inward/record.uri?eid=2-s2.0-79958135412&partnerID=40&md5=d07c0771b71b0212db41ac2461d2bbd8,,,,
2-s2.0-84874004767,132,classification; cost-benefit analysis; ecological economics; ecological footprint; ecosystem service; fragmentation; greenspace; quality of life; sustainability; urban economy; urban ecosystem; urban planning; urban society; urbanization; valuation,10.1016/j.ecolecon.2012.08.019,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84874004767&partnerID=40&md5=46a4b4af5311b8a4456a4be6bfbc8d6e,,,,
2-s2.0-84861706628,132,,10.1177/0149206311432640,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84861706628&partnerID=40&md5=1b52e5fde924086a4476e38983c38908,,,,
2-s2.0-79951797051,132,,10.1257/jep.25.1.3,https://www.scopus.com/inward/record.uri?eid=2-s2.0-79951797051&partnerID=40&md5=afeb25fd7058aa362dcc623debbc90df,,,,
